#Time(0),Type(1),X(2),Y(3),Param4,Param5,Param6,Param7,Param8,Param9,Param10
#0,Goto,,,Stage2-2,,,,,,
:Stage1,,,,,,,,,,
0.5,StageTitle,,,1,,,,,,
3,GenBird1,Right,72,3.1,0.6,1.2,,,,
5,GenBird1,Right,48,3.1,0.6,1.2,,,,
5,GenBird1,Right,96,3.1,0.6,1.2,,,,
4,GenBird1,Right,Random,8,0.8,1.2,,,,
9,GenBird2,Right,Random,8,0.8,1.2,,,,
,,,,,,,,,,
9,Bird3,Right,72,,,,,,,
1.8,Bird3,Right,48,,,,,,,
1.8,Bird3,Right,96,,,,,,,
,,,,,,,,,,
4,GenBird1,Right,Random,8,0.8,1.3,,,,
9,GenBird2,Right,Random,8,0.8,1.2,,,,
,,,,,,,,,,
9,BirdB1,120,Top,200,,,,,,
1.3,BirdB1,120,Top,150,,,,,,
1.3,BirdB1,120,Top,250,,,,,,
,,,,,,,,,,
4,GenBird1,Right,32,4.3,0.7,1.4,,,,
0,GenBird1,Right,112,4.3,0.7,1.4,,,,
1.8,BirdB1,115,Top,200,,,,,,
1.3,BirdB1,115,Top,260,,,,,,
1.3,BirdB1,115,Top,140,,,,,,
,,,,,,,,,,
5,GenBird2,Right,32,4.3,0.7,1.5,,,,
0,GenBird2,Right,112,4.3,0.7,1.5,,,,
1.8,BirdB1,120,Top,140,,,,,,
1,BirdB1,120,Top,260,,,,,,
1,BirdB1,120,Top,200,,,,,,
2,GenBird1,Right,Random,5.1,0.6,1.5,,,,
0.3,GenBird1,Right,Random,5.1,0.6,2.2,,,,
,,,,,,,,,,
5,StageTitle,,,2,,,,,,
0,BGDark1,,,,,,,,,
3,BGRain1,,,,,,,,,
,,,,,,,,,,
:Stage2,,,,,,,,,,
0.5,Bird1,Right,48,2,,,,,,
0.3,Bird1,Right,56,1.9,,,,,,
0,Bird1,Right,40,1.9,,,,,,
,,,,,,,,,,
1,Bird1,Right,96,2,,,,,,
0.3,Bird1,Right,104,1.9,,,,,,
0,Bird1,Right,88,1.9,,,,,,
,,,,,,,,,,
1,Bird1,Right,72,2,,,,,,
0.3,Bird1,Right,80,1.9,,,,,,
0,Bird1,Right,64,1.9,,,,,,
,,,,,,,,,,
2.5,Bird2,Right,96,1.6,,,,,,
0.3,Bird2,Right,104,1.5,,,,,,
0,Bird2,Right,88,1.5,,,,,,
,,,,,,,,,,
0.5,Bird2,Right,48,1.6,,,,,,
0.3,Bird2,Right,56,1.5,,,,,,
0,Bird2,Right,40,1.5,,,,,,
,,,,,,,,,,
1,Bird2,Right,72,1.6,,,,,,
0.3,Bird2,Right,80,1.5,,,,,,
0,Bird2,Right,64,1.5,,,,,,
,,,,,,,,,,
1,Bird2,Right,96,1.6,,,,,,
0.3,Bird2,Right,104,1.5,,,,,,
0,Bird2,Right,88,1.5,,,,,,
:Stage2-2,,,,,,,,,,
0.5,Bird2,Right,48,1.6,,,,,,
0.3,Bird2,Right,56,1.5,,,,,,
0,Bird2,Right,40,1.5,,,,,,
,,,,,,,,,,
2,GenBird2,Right,Random,3,0.7,1.8,,,,
0.3,GenBird1,Right,Random,3,0.7,2.4,,,,
3.5,GenBird2,Right,Random,3,0.7,1.8,,,,
0.3,GenBird1,Right,Random,3,0.7,2.4,,,,
3.5,GenBird2,Right,Random,5,0.6,1.9,,,,
0.3,GenBird1,Right,Random,5,0.7,2.2,,,,
